timestamp,netAmount0,netAmount1,closeTick,openTick,lowestTick,highestTick,inAmount0,inAmount1,currentLiquidity
2026-08-05 02:59:00,-8274029557659959683,8200286,-276419,-276419,-276419,-276419,0,8200286,0
2026-08-05 04:43:00,3827201935961557171,-3789361,-276419,-276419,-276419,-276419,3827201935961557171,0,0
2026-08-05 05:41:00,-9531838570577339117,9447238,-276418,-276418,-276418,-276418,0,9447238,0
2026-08-05 05:42:00,-12619924647181731914,12508939,-276417,-276417,-276417,-276417,0,12508939,0
2026-08-05 05:45:00,-7133572067382788097,7071352,-276417,-276417,-276417,-276417,0,7071352,0
2026-08-05 05:51:00,-9169243453536472865,9089815,-276416,-276416,-276416,-276416,0,9089815,0
2026-08-05 06:05:00,-6567993430767566849,6511477,-276416,-276416,-276416,-276416,0,6511477,0
2026-08-05 06:24:00,8791025150654092629,-8706595,-276416,-276416,-276416,-276416,8791025150654092629,0,0
2026-08-05 06:39:00,-6874557289022391801,6815299,-276416,-276416,-276416,-276416,0,6815299,0
2026-08-05 07:41:00,18114076879925305253,-17939236,-276417,-276417,-276417,-276417,18114076879925305253,0,0
2026-08-05 07:43:00,9646786959989528134,-9552695,-276418,-276418,-276418,-276418,9646786959989528134,0,0
2026-08-05 08:30:00,77487962296245212429,-76649188,-276425,-276430,-276430,-276425,134157837539550128709,56117635,0
2026-08-05 09:08:00,-7268555407663038465,7199993,-276424,-276424,-276424,-276424,0,7199993,0
2026-08-05 09:27:00,-6923834383228993537,6859004,-276423,-276423,-276423,-276423,0,6859004,0
2026-08-05 11:04:00,9952835250000000000,-9849638,-276424,-276424,-276424,-276424,9952835250000000000,0,0
2026-08-05 12:24:00,-5363721809109410184,5313300,-276424,-276424,-276424,-276424,0,5313300,0
2026-08-05 12:46:00,7297465154054266187,-7221568,-276424,-276424,-276424,-276424,7297465154054266187,0,0
2026-08-05 14:01:00,-7031171964505886855,6965000,-276424,-276424,-276424,-276424,0,6965000,0
2026-08-05 14:06:00,30603623053444274229,-30281778,-276427,-276427,-276427,-276427,30603623053444274229,0,0
2026-08-05 14:09:00,-74568707496607636361,73874210,-276420,-276425,-276425,-276420,0,73874210,0
2026-08-05 16:23:00,-76196389377998159894,75533827,-276414,-276414,-276414,-276414,0,75533827,0
2026-08-05 17:46:00,-27011114137860996109,26786452,-276412,-276412,-276412,-276412,0,26786452,0
2026-08-05 19:56:00,-10735157104532008301,10647354,-276411,-276411,-276411,-276411,0,10647354,0
2026-08-05 21:10:00,32149316284583082988,-31851966,-276414,-276414,-276414,-276414,32149316284583082988,0,0
2026-08-05 21:33:00,11311951153513617471,-11205527,-276414,-276414,-276414,-276414,11311951153513617471,0,0
2026-08-05 21:50:00,8779096173511032957,-8695857,-276415,-276415,-276415,-276415,8779096173511032957,0,0
