amount0,amount1,liquidity,tick,timestamp
-23973615613002360309,23972055,400646557783926642559,-276325,2026-07-18 07:40:35.000 UTC
-6807074329000000000,6806630,400646557783926642559,-276325,2026-07-18 07:51:47.000 UTC
-7456397177498385000000,7455772418,400646557783926642559,-276325,2026-07-18 07:53:47.000 UTC
-3243602822501615000000,3243244433,400646557783926642559,-276325,2026-07-18 07:57:35.000 UTC
7927658495680330420378,-7927271593,400646557783926642559,-276325,2026-07-18 08:11:11.000 UTC
4114073504450389632492,-4113996364,400646557783926642559,-276325,2026-07-18 08:16:59.000 UTC
7233155753233687348657,-7233224985,400646557783926642559,-276325,2026-07-18 08:17:23.000 UTC
-1539889730025667043138,1539849356,400646557783926642559,-276325,2026-07-18 08:17:59.000 UTC
-2999991115052547027939,2999878466,400646557783926642559,-276325,2026-07-18 08:19:59.000 UTC
3658572864739567732073,-3658624431,400646557783926642559,-276325,2026-07-18 08:25:59.000 UTC
-202396672000000000000,202391150,400646557783926642559,-276325,2026-07-18 08:38:23.000 UTC
-2557354461878263718,2557283,400646557783926642559,-276325,2026-07-18 08:39:35.000 UTC
-12585000000000000000000,12584254888,400646557783926642559,-276325,2026-07-18 08:39:47.000 UTC
-4039915877828641106605,4039509073,400646557783926642559,-276325,2026-07-18 08:57:59.000 UTC
-2880000000000000000000,2879660260,400646557783926642559,-276326,2026-07-18 09:25:59.000 UTC
-174000000000000000000000,173902703610,400646557783926642559,-276334,2026-07-18 09:32:11.000 UTC
5015503511602494697568,-5011703839,400646557783926642559,-276332,2026-07-18 09:32:23.000 UTC
14331548614612620525006,-14320000000,400646557783926642559,-276332,2026-07-18 09:32:23.000 UTC
20362764061338580897159,-20344594331,400646557783926642559,-276333,2026-07-18 09:32:23.000 UTC
13441392041746766848129,-13431827566,400646557783926642559,-276332,2026-07-18 09:32:23.000 UTC
20012570966728518202207,-20000000000,400646557783926642559,-276331,2026-07-18 09:32:35.000 UTC
23993074169860930808214,-23980635861,400646557783926642559,-276329,2026-07-18 09:32:35.000 UTC
-8242201522193115884659,8237406979,400646557783926642559,-276330,2026-07-18 09:32:47.000 UTC
-7109249486329044616849,7105386158,400646557783926642559,-276330,2026-07-18 09:32:47.000 UTC
-3437091393080505545877,3435314002,400646557783926642559,-276330,2026-07-18 09:32:47.000 UTC
20010052724395042887039,-20000000000,400646557783926642559,-276329,2026-07-18 09:32:59.000 UTC
15818155645635625581075,-15811622424,400646557783926642559,-276329,2026-07-18 09:33:23.000 UTC
898213731918802902553,-897880206,400646557783926642559,-276328,2026-07-18 09:33:23.000 UTC
-398407251074308112384,398239897,400646557783926642559,-276328,2026-07-18 09:33:35.000 UTC
4320618201911315789293,-4319061521,400646557783926642559,-276328,2026-07-18 09:33:47.000 UTC
19915044395218928761886,-19911188707,400646557783926642559,-276326,2026-07-18 09:33:59.000 UTC
-2847406572990214674057,2846591698,400646557783926642559,-276327,2026-07-18 09:33:59.000 UTC
17096390550209878039127,-17091744704,400646557783926642559,-276327,2026-07-18 09:33:59.000 UTC
7038080595856810511772,-7035744267,400646557783926642559,-276328,2026-07-18 09:33:59.000 UTC
-14179104741691551125308,14175853698,400646557783926642559,-276327,2026-07-18 09:34:11.000 UTC
10968373497939498446811,-10966394244,400646557783926642559,-276326,2026-07-18 09:34:23.000 UTC
-10000000000000000000000,9997103897,400646557783926642559,-276327,2026-07-18 09:34:23.000 UTC
11373065705953468173856,-11370379430,400646557783926642559,-276327,2026-07-18 09:34:23.000 UTC
10771552510037865321860,-10770193118,400646557783926642559,-276326,2026-07-18 09:34:23.000 UTC
16492497271368971775936,-16491538036,400646557783926642559,-276325,2026-07-18 09:34:35.000 UTC
-10186327224948297248857,10185385802,400646557783926642559,-276325,2026-07-18 09:34:35.000 UTC
-1230475384678433421728,1230326606,400646557783926642559,-276326,2026-07-18 09:34:47.000 UTC
9996591439261130752472,-9996585952,400646557783926642559,-276325,2026-07-18 09:35:23.000 UTC
9713905824406170143372,-9713422624,400646557783926642559,-276325,2026-07-18 09:35:23.000 UTC
-2154458463749327856613,2154391728,400646557783926642559,-276325,2026-07-18 09:35:59.000 UTC
-516985433871601369088,516965972,400646557783926642559,-276325,2026-07-18 09:36:11.000 UTC
-708507800749987475463,708478963,400646557783926642559,-276325,2026-07-18 09:36:23.000 UTC
-479763087140841103744,479742137,400646557783926642559,-276325,2026-07-18 09:38:59.000 UTC
-5215819967178635638393,5215518065,400646557783926642559,-276325,2026-07-18 09:41:35.000 UTC
-49980639291318024428,49977089,400646557783926642559,-276325,2026-07-18 09:42:35.000 UTC
-7431928567559027294369,7431261955,400646557783926642559,-276325,2026-07-18 09:44:11.000 UTC
-2200000000000000000000,2199749787,400646557783926642559,-276325,2026-07-18 09:48:59.000 UTC
-15742296798327792768,15740419,400646557783926642559,-276325,2026-07-18 09:51:59.000 UTC
317262285864583638990,-317240550,400646557783926642559,-276325,2026-07-18 09:53:35.000 UTC
7491319937331180361917,-7490952670,400646557783926642559,-276325,2026-07-18 10:21:11.000 UTC
-149460423982177930,149448,400646557783926642559,-276325,2026-07-18 10:34:35.000 UTC
-4662935949361000807,4662561,400646557783926642559,-276325,2026-07-18 10:36:47.000 UTC
-9840234157841651377,9839443,400646557783926642559,-276325,2026-07-18 10:41:23.000 UTC
-10217953643387885468708,10216871565,400646557783926642559,-276326,2026-07-18 10:45:11.000 UTC
11743111769265933706294,-11742500000,400646557783926642559,-276325,2026-07-18 10:48:23.000 UTC
-6637980381223300904917,6637387264,400646557783926642559,-276325,2026-07-18 10:53:23.000 UTC
7670282095627002076333,-7670000000,400646557783926642559,-276325,2026-07-18 10:53:59.000 UTC
-14000000000000000000000,13998564007,400646557783926642559,-276326,2026-07-18 10:56:59.000 UTC
11799255580774557657454,-11798570448,400646557783926642559,-276325,2026-07-18 10:57:11.000 UTC
-5080057094327408313,5079657,600721178376759721339,-276325,2026-07-18 11:21:11.000 UTC
-9905732472600020006000,9904790239,600721178376759721339,-276325,2026-07-18 11:33:35.000 UTC
3000564624596588914,-3000000,600721178376759721339,-276327,2026-07-18 11:34:47.000 UTC
-38024310530862268725384,38017660483,600721178376759721339,-276327,2026-07-18 11:34:47.000 UTC
16002584993183448239220,-16000000000,600721178376759721339,-276326,2026-07-18 11:34:59.000 UTC
1723605310384455209884,-1723377735,600721178376759721339,-276326,2026-07-18 11:35:11.000 UTC
-8345709697047883415552,8344997176,600721178376759721339,-276325,2026-07-18 11:35:23.000 UTC
24001128185624452471579,-24000000000,940452181094731922811,-276325,2026-07-18 11:35:23.000 UTC
16986103558578123693834,-16984389745,600721178376759721339,-276326,2026-07-18 11:35:23.000 UTC
7594766952861080468474,-7594488775,600721178376759721339,-276325,2026-07-18 11:35:47.000 UTC
5000256864860553672906,-5000178550,600721178376759721339,-276325,2026-07-18 11:35:59.000 UTC
-7536120060000000000000,7535593424,600721178376759721339,-276325,2026-07-18 11:36:47.000 UTC
194481087416131862131,-194474844,600721178376759721339,-276325,2026-07-18 11:44:47.000 UTC
6400135211337744630577,-6400000000,600721178376759721339,-276325,2026-07-18 11:46:23.000 UTC
-1846792916435982581,1846681,600721178376759721339,-276325,2026-07-18 12:04:59.000 UTC
-5272861485104742966,5272542,600721178376759721339,-276325,2026-07-18 12:11:11.000 UTC
-4172010425402076397027,4171720070,600721178376759721339,-276325,2026-07-18 12:25:47.000 UTC
-647821974442380677956,647782085,600721178376759721339,-276325,2026-07-18 12:25:47.000 UTC
1300031692326658690418,-1300000000,600721178376759721339,-276325,2026-07-18 12:32:23.000 UTC
-5298122175642660510480,5297692864,600721178376759721339,-276325,2026-07-18 12:46:11.000 UTC
8501675220393402033,-8501337,600721178376759721339,-276325,2026-07-18 12:49:47.000 UTC
-5085152729031111262226,5084652936,600721178376759721339,-276325,2026-07-18 13:07:47.000 UTC
7520332654753360432952,-7520000000,600721178376759721339,-276325,2026-07-18 13:07:59.000 UTC
-181667408000000000000,181652508,600721178376759721339,-276325,2026-07-18 13:08:35.000 UTC
11183613543630646067317,-11183460276,600721178376759721339,-276325,2026-07-18 13:09:23.000 UTC
-3080581721451170406,3080442,600721178376759721339,-276325,2026-07-18 13:12:23.000 UTC
-18378996988893855568454,18377605890,600721178376759721339,-276325,2026-07-18 13:13:11.000 UTC
9075373699555494848564,-9075000000,600721178376759721339,-276325,2026-07-18 13:21:35.000 UTC
-610000000000000000000,609952978,600721178376759721339,-276325,2026-07-18 13:22:59.000 UTC
-21033448968862960926,21031803,600721178376759721339,-276325,2026-07-18 13:23:47.000 UTC
-24191732818823656613,24189842,600721178376759721339,-276325,2026-07-18 13:23:47.000 UTC
-50688420574936094405,50684449,600721178376759721339,-276325,2026-07-18 13:30:11.000 UTC
-5865566669282935610168,5865049433,600721178376759721339,-276325,2026-07-18 13:32:47.000 UTC
11900334859522406447364,-11900000000,600721178376759721339,-276325,2026-07-18 13:37:47.000 UTC
-6333102917040000000000,6332666757,600721178376759721339,-276325,2026-07-18 13:45:47.000 UTC
-32000000000000000000,31997457,600721178376759721339,-276325,2026-07-18 13:48:47.000 UTC
-283257259537788136816607,283101252243,0,-276335,2026-07-18 13:49:11.000 UTC
