minute,usde_price
2025-07-12 14:44:47.000 UTC,1.00071255
2025-07-16 08:38:47.000 UTC,1.0004528
2025-07-16 08:41:59.000 UTC,1.0004528
2025-07-16 08:45:59.000 UTC,1.0004528
2025-07-18 21:04:11.000 UTC,1.00161831
2025-07-23 08:51:59.000 UTC,1.00144345
2025-07-24 08:02:59.000 UTC,1.00128552
2025-07-28 10:16:47.000 UTC,1.00108778
2025-07-30 21:26:35.000 UTC,1.00084438
2025-08-04 22:23:47.000 UTC,1.00079756
2025-08-06 19:46:35.000 UTC,1.00083427
2025-08-06 19:51:35.000 UTC,1.00083427
2025-08-06 19:53:47.000 UTC,1.00083427
2025-08-09 09:29:11.000 UTC,1.00066289
2025-08-10 09:36:11.000 UTC,1.00101794
2025-08-13 16:11:59.000 UTC,1.0008634
2025-08-18 21:25:23.000 UTC,1.00131105
2025-08-26 10:02:47.000 UTC,1.00068579
2025-09-04 08:19:47.000 UTC,1.00098743
2025-09-10 14:01:59.000 UTC,1.00077046
2025-09-12 16:18:59.000 UTC,1.00089132
2025-09-14 08:17:59.000 UTC,1.00127218
2025-09-15 09:06:59.000 UTC,1.0012104
2025-09-19 00:26:23.000 UTC,1.00108114
2025-09-19 00:28:23.000 UTC,1.00108114
2025-09-19 13:35:35.000 UTC,1.00111161
2025-09-19 13:36:11.000 UTC,1.00111161
2025-09-22 07:40:35.000 UTC,1.00034309
2025-09-23 23:22:47.000 UTC,1.00067895
2025-10-08 06:01:47.000 UTC,1.00006089
2025-10-08 06:01:59.000 UTC,1.00006089
2025-10-08 06:06:47.000 UTC,1.00006089
2025-10-08 06:06:59.000 UTC,1.00006089
2025-10-08 06:07:35.000 UTC,1.00006089
2025-10-08 06:07:47.000 UTC,1.00006089
2025-10-08 06:08:35.000 UTC,1.00006089
2025-10-10 06:05:11.000 UTC,1.00021067
2025-10-10 06:05:35.000 UTC,1.00021067
2025-10-16 09:19:47.000 UTC,1.00005508
2025-10-16 09:21:47.000 UTC,1.00005508
2025-10-16 09:48:35.000 UTC,1.00005508
2025-10-16 09:49:11.000 UTC,1.00005508
2025-10-16 09:56:59.000 UTC,1.00005508
2025-10-16 13:52:35.000 UTC,1.00005508
2025-10-16 15:51:23.000 UTC,1.00005508
2025-10-21 13:00:11.000 UTC,0.99937089
2025-10-30 17:26:11.000 UTC,0.99932819
2025-10-30 19:27:11.000 UTC,0.99932819
2025-11-01 13:41:23.000 UTC,0.99890677
2025-11-02 19:25:47.000 UTC,0.99879628
2025-11-04 13:22:59.000 UTC,0.99914074
2025-11-06 12:49:47.000 UTC,0.99909545
2025-11-08 04:38:47.000 UTC,0.99875079
2025-11-10 01:24:11.000 UTC,0.99904046
2026-02-05 16:10:47.000 UTC,0.99784678
2026-02-05 16:18:11.000 UTC,0.99784678
2026-02-06 09:56:59.000 UTC,0.99787033
2026-02-07 09:37:59.000 UTC,0.99848724
2026-02-07 09:39:11.000 UTC,0.99848724
2026-02-26 01:45:59.000 UTC,0.99951978
2026-02-26 01:46:47.000 UTC,0.99951978
2026-02-26 01:47:23.000 UTC,0.99951978
2026-02-26 05:32:23.000 UTC,0.99951978
2026-02-26 05:52:11.000 UTC,0.99951978
2026-02-26 05:56:35.000 UTC,0.99951978
2026-02-26 07:11:23.000 UTC,0.99951978
2026-02-26 07:29:11.000 UTC,0.99951978
2026-03-01 14:51:35.000 UTC,0.99926012
2026-03-01 14:51:47.000 UTC,0.99926012
2026-03-19 00:53:11.000 UTC,0.99965725
