timestamp,netAmount0,netAmount1,closeTick,openTick,lowestTick,highestTick,inAmount0,inAmount1,currentLiquidity,pool_price,usdc_price,oracle_price,dev_bps,token0,token1,usdc_sold_into_pool,swap_direction,peg_below,is_drain,swap_size_usd,drain_volume_usd
2026-05-01 02:25:00,-5980368607,5981748330,1.0,1.0,1.0,1.0,0,5981748330,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,False,buy_usdc,True,False,5981.74833,0.0
2026-05-01 02:26:00,2655231074,-2655312605,1.0,1.0,1.0,1.0,2655231074,0,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,2655.231074,2655.231074
2026-05-01 02:28:00,-199953867,200000000,1.0,1.0,1.0,1.0,0,200000000,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,False,buy_usdc,True,False,200.0,0.0
2026-05-01 02:32:00,7284177125,-7284400005,1.0,1.0,1.0,1.0,7284563508,386473,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,7284.949981,7284.949981
2026-05-01 02:34:00,-1583549656,1583914803,1.0,1.0,1.0,1.0,0,1583914803,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,False,buy_usdc,True,False,1583.914803,0.0
2026-05-01 02:35:00,14858869369,-14859287499,1.0,1.0,1.0,1.0,15027816984,168986524,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,15196.803508,15196.803508
2026-05-01 02:37:00,-157119854,157156040,1.0,1.0,1.0,1.0,0,157156040,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,False,buy_usdc,True,False,157.15604,0.0
2026-05-01 02:38:00,8000000000,-8000241469,1.0,1.0,1.0,1.0,8000000000,0,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,8000.0,8000.0
2026-05-01 02:42:00,-3889879423,3890774787,1.0,1.0,1.0,1.0,0,3890774787,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,False,buy_usdc,True,False,3890.774787,0.0
2026-05-01 02:52:00,1289906228,-1289905142,1.0,1.0,1.0,1.0,1489860200,200000000,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,1689.8602,1689.8602
2026-05-01 02:58:00,1800000000,-1800054245,1.0,1.0,1.0,1.0,1800000000,0,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,1800.0,1800.0
2026-05-01 03:01:00,24777082238,-24777794191,1.0,1.0,1.0,1.0,24917050095,140000000,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,25057.050095,25057.050095
2026-05-01 03:11:00,-330056251,330134644,1.0,1.0,1.0,1.0,12960001,343095027,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,False,buy_usdc,True,False,356.055028,0.0
2026-05-01 03:14:00,-1595677150,1596043635,1.0,1.0,1.0,1.0,0,1596043635,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,False,buy_usdc,True,False,1596.043635,0.0
2026-05-01 03:19:00,-117972902,118000000,1.0,1.0,1.0,1.0,0,118000000,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,False,buy_usdc,True,False,118.0,0.0
